ID,RefSeq_accession_number,gene_symbol,gene_name
4909,NP_620581,MAPK14,mitogen-activated protein kinase 14 isoform 2
4910,NP_001306,MAPK14,mitogen-activated protein kinase 14 isoform 1
4911,NP_149082,TRIM4,tripartite motif-containing protein 4 isoform beta
4912,NP_060895,PI4K2A,phosphatidylinositol 4-kinase type 2-alpha
4913,NP_065733,AS3MT,arsenite methyltransferase
4914,NP_689853,DCP1B,mRNA-decapping enzyme 1B
4915,NP_001139669,LOC643677,coiled-coil domain-containing protein 168
4916,NP_005504,GTF2E1,general transcription factor IIE subunit 1
4917,NP_000192,ICAM1,intercellular adhesion molecule 1 precursor
4918,NP_036344,PTGR1,prostaglandin reductase 1 isoform 1
4919,NP_065194,TUBGCP6,gamma-tubulin complex component 6
4920,NP_003304,TSTA3,GDP-L-fucose synthase
4921,NP_002731,PRKCI,protein kinase C iota type
4922,NP_001166110,CELF1,CUGBP Elav-like family member 1 isoform 4
4923,NP_001020767,CELF1,CUGBP Elav-like family member 1 isoform 3
4924,NP_006552,CELF2,CUGBP Elav-like family member 2 isoform 2
4925,NP_001020247,CELF2,CUGBP Elav-like family member 2 isoform 1
4926,NP_699204,AGXT2L2,5-phosphohydroxy-L-lysine phospho-lyase isoform 2
4927,NP_031401,TARDBP,TAR DNA-binding protein 43
4928,NP_001177344,TAF6,transcription initiation factor TFIID subunit 6 isoform epsilon
4929,NP_003081,SNRPA1,U2 small nuclear ribonucleoprotein A'
4930,NP_001012426,FOXP4,forkhead box protein P4 isoform 1
4931,NP_612466,FOXP4,forkhead box protein P4 isoform 2
4932,NP_001231737,FOXP1,forkhead box protein P1 isoform 3
4933,NP_001231739,FOXP1,forkhead box protein P1 isoform 4
4934,NP_001231744,FOXP1,forkhead box protein P1 isoform 8
4935,NP_008816,ZFHX3,zinc finger homeobox protein 3 isoform A
4936,NP_078997,ZFHX4,zinc finger homeobox protein 4
4937,NP_055979,PLEKHM2,pleckstrin homology domain-containing family M member 2
4938,NP_115521,FBXO30,F-box only protein 30
4939,NP_001093165,REPIN1,replication initiator 1 isoform 3
4940,NP_031399,SHOC2,leucine-rich repeat protein SHOC-2 isoform 1
4941,NP_077024,DHX58,probable ATP-dependent RNA helicase DHX58
4942,NP_005996,WFS1,wolframin
4943,NP_003633,HAT1,histone acetyltransferase type B catalytic subunit
4944,NP_004663,MAP3K6,mitogen-activated protein kinase kinase kinase 6
4945,NP_036370,SIRT1,NAD-dependent protein deacetylase sirtuin-1 isoform a
4946,NP_001001484,PTER,phosphotriesterase-related protein isoform 1
4947,NP_060295,ADPRHL2,poly(ADP-ribose) glycohydrolase ARH3
4948,NP_689485,CHMP7,charged multivesicular body protein 7
4949,NP_003174,ADAM17,disintegrin and metalloproteinase domain-containing protein 17 preproprotein
4950,NP_079172,ERMP1,endoplasmic reticulum metallopeptidase 1
4951,NP_001032209,NRCAM,neuronal cell adhesion molecule isoform A precursor
4952,NP_060708,AGK,"acylglycerol kinase, mitochondrial precursor"
4953,NP_149974,BPIFB1,BPI fold-containing family B member 1 precursor
4954,NP_079348,PTGES2,prostaglandin E synthase 2 isoform 1
4955,NP_852136,RFC2,replication factor C subunit 2 isoform 1
4956,NP_071413,GOLPH3,Golgi phosphoprotein 3
4957,NP_060648,GOLPH3L,Golgi phosphoprotein 3-like
4958,NP_060275,RASIP1,ras-interacting protein 1
4959,NP_061072,DNAJA4,dnaJ homolog subfamily A member 4 isoform 1
4960,NP_065789,KIDINS220,kinase D-interacting substrate of 220 kDa
4961,NP_001258766,RCN2,reticulocalbin-2 isoform b precursor
4962,NP_005443,WDR46,WD repeat-containing protein 46 isoform 1
4963,NP_001505,GTF2B,transcription initiation factor IIB
4964,NP_055899,MRPS27,"28S ribosomal protein S27, mitochondrial"
4965,NP_001248363,AARSD1,alanyl-tRNA editing protein Aarsd1
4966,NP_001129514,AARSD1,PTGES3L-AARSD1 protein isoform 1
4967,NP_055824,PDZRN3,E3 ubiquitin-protein ligase PDZRN3
4968,NP_115901,PDZD4,PDZ domain-containing protein 4
4969,NP_569119,PTPRE,receptor-type tyrosine-protein phosphatase epsilon isoform 2
4970,NP_002827,PTPRA,receptor-type tyrosine-protein phosphatase alpha isoform 1 precursor
4971,NP_004394,DFNA5,non-syndromic hearing impairment protein 5 isoform a
4972,NP_055282,SRPX2,sushi repeat-containing protein SRPX2 precursor
4973,NP_002757,PRPSAP1,phosphoribosyl pyrophosphate synthase-associated protein 1
4974,NP_002758,PRPSAP2,phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 1
4975,NP_001230871,PRPSAP2,phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 4
4976,NP_005044,RAD23A,UV excision repair protein RAD23 homolog A isoform 1
4977,NP_001257291,RAD23A,UV excision repair protein RAD23 homolog A isoform 2
4978,NP_002865,RAD23B,UV excision repair protein RAD23 homolog B isoform 1
4979,NP_005724,KIF20A,kinesin-like protein KIF20A
4980,NP_060672,TMEM57,macoilin
4981,NP_003110,SPG7,paraplegin isoform 1 precursor
4982,NP_037367,RNASEN,ribonuclease 3 isoform 1
4983,NP_000622,NCF4,neutrophil cytosol factor 4 isoform 1
4984,NP_060268,YTHDF1,YTH domain family protein 1
4985,NP_001166599,YTHDF2,YTH domain family protein 2 isoform 1
4986,NP_689971,YTHDF3,YTH domain family protein 3 isoform a
4987,NP_006600,MAP3K2,mitogen-activated protein kinase kinase kinase 2
4988,NP_002392,MAP3K3,mitogen-activated protein kinase kinase kinase 3 isoform 2
4989,NP_054879,MKRN2,probable E3 ubiquitin-protein ligase makorin-2 isoform 1
4990,NP_006442,PAIP1,polyadenylate-binding protein-interacting protein 1 isoform 1
4991,NP_877590,PAIP1,polyadenylate-binding protein-interacting protein 1 isoform 2
4992,NP_899152,PAIP1,polyadenylate-binding protein-interacting protein 1 isoform 3
4993,NP_006181,ORC2L,origin recognition complex subunit 2
4994,NP_004413,DVL2,segment polarity protein dishevelled homolog DVL-2
4995,NP_004412,DVL1,segment polarity protein dishevelled homolog DVL-1
4996,NP_004414,DVL3,segment polarity protein dishevelled homolog DVL-3
4997,NP_004083,ECHS1,"enoyl-CoA hydratase, mitochondrial"
4998,NP_060762,QRSL1,"glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial"
4999,NP_005710,ARPC3,actin-related protein 2/3 complex subunit 3
5000,NP_060382,HERC6,probable E3 ubiquitin-protein ligase HERC6 isoform 1
5001,NP_055421,HERC3,probable E3 ubiquitin-protein ligase HERC3 isoform 1
5002,NP_114431,FAM172A,protein FAM172A isoform 1 precursor
5003,NP_003724,OASL,2'-5'-oligoadenylate synthase-like protein isoform a
5004,NP_006312,ARIH2,E3 ubiquitin-protein ligase ARIH2
5005,NP_001015055,RTKN,rhotekin isoform a
5006,NP_149035,RTKN,rhotekin isoform b
5007,NP_001846,COL15A1,collagen alpha-1(XV) chain precursor
5008,NP_150093,PURB,transcriptional activator protein Pur-beta
5009,NP_872407,PLEKHS1,pleckstrin homology domain-containing family S member 1 isoform 1
5010,NP_001180363,PLEKHS1,pleckstrin homology domain-containing family S member 1 isoform 2
5011,NP_001029097,TIAL1,nucleolysin TIAR isoform 2
5012,NP_003243,TIAL1,nucleolysin TIAR isoform 1
5013,NP_071505,TIA1,nucleolysin TIA-1 isoform p40 isoform 2
5014,NP_002943,RPS2,40S ribosomal protein S2
5015,NP_758515,STON1,STON1-GTF2A1L protein isoform 1
5016,NP_006864,STON1,stonin-1
5017,NP_006087,NDRG1,protein NDRG1 isoform 1
5018,NP_002783,PSMA7,proteasome subunit alpha type-7
5019,NP_003757,BECN1,beclin-1
5020,NP_060026,FBLIM1,filamin-binding LIM protein 1 isoform a
5021,NP_001019386,FBLIM1,filamin-binding LIM protein 1 isoform b
5022,NP_001009552,PPP2CB,serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
5023,NP_002711,PPP4C,serine/threonine-protein phosphatase 4 catalytic subunit
5024,NP_002706,PPP2CA,serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
5025,NP_114108,MRPS5,"28S ribosomal protein S5, mitochondrial"
5026,NP_078817,C10ORF76,UPF0668 protein C10orf76
5027,NP_057562,ZC3HC1,nuclear-interacting partner of ALK
5028,NP_006088,MYL9,myosin regulatory light polypeptide 9 isoform a
5029,NP_001138417,MYL12B,myosin regulatory light chain 12B
5030,NP_006462,MYL12A,myosin regulatory light chain 12A
5031,XP_373042,GNOMON,PREDICTED: uncharacterized protein LOC391722
5032,NP_003468,PDHX,"pyruvate dehydrogenase protein X component, mitochondrial isoform 1 precursor"
5033,NP_071414,CLSTN2,calsyntenin-2 precursor
5034,NP_079498,WDR82,WD repeat-containing protein 82
5035,NP_000843,GSTP1,glutathione S-transferase P
5036,NP_065997,DENND1A,DENN domain-containing protein 1A isoform 1
5037,NP_061820,CYCS,cytochrome c
5038,NP_001005741,GBA,glucosylceramidase isoform 1 precursor
5039,NP_001243692,FAM49B,protein FAM49B
5040,NP_110424,FAM49A,protein FAM49A
5041,NP_006800,TOMM34,mitochondrial import receptor subunit TOM34
5042,NP_059118,CALML5,calmodulin-like protein 5
5043,NP_057572,PPHLN1,periphilin-1 isoform 1
5044,NP_958923,PPHLN1,periphilin-1 isoform 2
5045,NP_001137259,PPHLN1,periphilin-1 isoform 6
5046,NP_694453,RBM45,RNA-binding protein 45
5047,NP_000503,GALNS,N-acetylgalactosamine-6-sulfatase precursor
5048,NP_005300,GPT,alanine aminotransferase 1
5049,NP_597700,GPT2,alanine aminotransferase 2 isoform 1
5050,NP_057094,FAM164A,zinc finger C2HC domain-containing protein 1A
5051,NP_005785,DHRS2,dehydrogenase/reductase SDR family member 2 isoform 2
5052,NP_878912,DHRS2,dehydrogenase/reductase SDR family member 2 isoform 1
5053,NP_073742,AIDA,"axin interactor, dorsalization-associated protein"
5054,NP_001035830,PGP,phosphoglycolate phosphatase
5055,NP_054742,WDR37,WD repeat-containing protein 37
5056,NP_115517,CCDC55,nuclear speckle splicing regulatory protein 1 isoform 1
5057,NP_006454,STAMBP,STAM-binding protein
5058,NP_115867,MRPL38,"39S ribosomal protein L38, mitochondrial"
5059,NP_006500,RELB,transcription factor RelB
5060,NP_620693,CSNK1D,casein kinase I isoform delta isoform 2
5061,NP_001884,CSNK1D,casein kinase I isoform delta isoform 1
5062,NP_001885,CSNK1E,casein kinase I isoform epsilon
5063,NP_055563,SNX17,sorting nexin-17 isoform 1
5064,NP_001253989,SNX17,sorting nexin-17 isoform 3
5065,NP_005643,TERF2,telomeric repeat-binding factor 2
5066,NP_001202,BUB1B,mitotic checkpoint serine/threonine-protein kinase BUB1 beta
5067,NP_057373,CAB39,calcium-binding protein 39
5068,NP_112187,CAB39L,calcium-binding protein 39-like
5069,NP_848632,B4GALNT4,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1
5070,NP_004716,BUB3,mitotic checkpoint protein BUB3 isoform a
5071,NP_647473,YME1L1,ATP-dependent zinc metalloprotease YME1L1 isoform 1
5072,NP_001166171,SHROOM1,protein Shroom1 isoform 1
5073,NP_001139478,IGFALS,insulin-like growth factor-binding protein complex acid labile subunit isoform 1 precursor
5074,NP_001070736,ZFYVE19,zinc finger FYVE domain-containing protein 19 isoform 1
5075,NP_064576,MRPS22,"28S ribosomal protein S22, mitochondrial"
5076,NP_000121,F5,coagulation factor V precursor
5077,NP_003760,SFRS9,serine/arginine-rich splicing factor 9
5078,NP_006523,ELL,RNA polymerase II elongation factor ELL
5079,NP_001124335,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase family member 2 isoform 3 preproprotein
5080,NP_006200,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase family member 2 isoform 1 preproprotein
5081,NP_001804,CENPE,centromere-associated protein E
5082,NP_004897,WTAP,pre-mRNA-splicing regulator WTAP isoform 1
5083,NP_001229510,RIN2,ras and Rab interactor 2 isoform 1
5084,NP_940873,KANK3,KN motif and ankyrin repeat domain-containing protein 3
5085,NP_004993,NDUFA9,NADH dehydrogenase
5086,NP_056386,SENP6,sentrin-specific protease 6 isoform 1
5087,NP_065705,SENP7,sentrin-specific protease 7 isoform 1
5088,NP_079467,EDEM3,ER degradation-enhancing alpha-mannosidase-like protein 3 precursor
5089,NP_003817,NAPG,gamma-soluble NSF attachment protein
5090,NP_064583,CCDC47,coiled-coil domain-containing protein 47 precursor
5091,NP_000062,CBS,cystathionine beta-synthase
5092,NP_002031,GABPA,GA-binding protein alpha chain
5093,NP_060829,UFSP2,ufm1-specific protease 2
5094,NP_612357,FAM105B,protein FAM105B
5095,NP_001254523,SENP1,sentrin-specific protease 1
5096,NP_055712,ZNF652,zinc finger protein 652
5097,NP_660149,ZBTB47,zinc finger and BTB domain-containing protein 47
5098,NP_000384,COL5A2,collagen alpha-2(V) chain preproprotein
5099,NP_115580,ASCC2,activating signal cointegrator 1 complex subunit 2 isoform 1
5100,NP_115717,DDI2,protein DDI1 homolog 2
5101,NP_001734,CALM2,calmodulin
5102,NP_006283,TSG101,tumor susceptibility gene 101 protein
5103,NP_002077,GRB2,growth factor receptor-bound protein 2 isoform 1
5104,NP_987102,GRB2,growth factor receptor-bound protein 2 isoform 2
5105,NP_000910,PAM,peptidyl-glycine alpha-amidating monooxygenase isoform a preproprotein
5106,NP_004453,FDFT1,squalene synthase
5107,NP_058651,SEPSECS,O-phosphoseryl-tRNA(Sec) selenium transferase
5108,NP_060353,WDR13,WD repeat-containing protein 13 isoform 1
5109,NP_001159898,WDR13,WD repeat-containing protein 13 isoform 2
5110,NP_004648,SDPR,serum deprivation-response protein
5111,NP_077015,CARD14,caspase recruitment domain-containing protein 14 isoform 1
5112,NP_001002009,NT5C3,cytosolic 5'-nucleotidase 3A isoform 2
5113,NP_001002010,NT5C3,cytosolic 5'-nucleotidase 3A isoform 1
5114,NP_002297,LGALS3,galectin-3 isoform 1
5115,NP_002490,NEO1,neogenin isoform 1 precursor
5116,NP_001975,ESD,S-formylglutathione hydrolase
5117,NP_005255,GFRA1,GDNF family receptor alpha-1 isoform a preproprotein
5118,NP_665736,GFRA1,GDNF family receptor alpha-1 isoform b preproprotein
5119,NP_056364,PLEKHG3,pleckstrin homology domain-containing family G member 3
5120,NP_076994,KDELC1,KDEL motif-containing protein 1 precursor
5121,NP_067653,C12ORF10,"UPF0160 protein MYG1, mitochondrial precursor"
5122,NP_076970,PDCL3,phosducin-like protein 3
5123,NP_078958,TBC1D17,TBC1 domain family member 17 isoform 1
5124,NP_001161694,TBC1D17,TBC1 domain family member 17 isoform 2
5125,NP_689657,PTGR2,prostaglandin reductase 2
5126,NP_066949,MPST,3-mercaptopyruvate sulfurtransferase isoform 1
5127,NP_002600,PDGFRB,platelet-derived growth factor receptor beta precursor
5128,NP_036369,SIRT2,NAD-dependent protein deacetylase sirtuin-2 isoform 1
5129,NP_003305,TTC1,tetratricopeptide repeat protein 1
5130,NP_002558,PEBP1,phosphatidylethanolamine-binding protein 1 preproprotein
5131,NP_062555,CPXM1,probable carboxypeptidase X1 isoform 1 precursor
5132,NP_057086,SCCPDH,saccharopine dehydrogenase-like oxidoreductase
5133,NP_705690,LDHD,"probable D-lactate dehydrogenase, mitochondrial isoform 1 precursor"
5134,NP_689659,CEP128,centrosomal protein of 128 kDa
5135,NP_036587,PSD4,PH and SEC7 domain-containing protein 4
5136,NP_031375,PAXIP1,PAX-interacting protein 1
5137,NP_001687,ATP6V1E1,V-type proton ATPase subunit E 1 isoform a
5138,NP_542384,ATP6V1E2,V-type proton ATPase subunit E 2
5139,NP_005307,GTF2H1,general transcription factor IIH subunit 1
5140,NP_000381,CHM,rab proteins geranylgeranyltransferase component A 1 isoform a
5141,NP_001812,CHML,rab proteins geranylgeranyltransferase component A 2
5142,NP_002955,S100A8,protein S100-A8
5143,NP_112178,PVRL4,poliovirus receptor-related protein 4 precursor
5144,NP_060518,MAGOHB,protein mago nashi homolog 2
5145,NP_065987,DDX55,ATP-dependent RNA helicase DDX55
5146,NP_001163931,CDK16,cyclin-dependent kinase 16 isoform 3
5147,NP_002586,CDK17,cyclin-dependent kinase 17 isoform 1
5148,NP_002587,CDK18,cyclin-dependent kinase 18 isoform b
5149,NP_001976,ETFB,electron transfer flavoprotein subunit beta isoform 1
5150,NP_001560,IRAK1,interleukin-1 receptor-associated kinase 1 isoform 1
5151,NP_005090,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4 preproprotein
5152,NP_079131,ACTR5,actin-related protein 5
5153,NP_075047,LPIN3,phosphatidate phosphatase LPIN3
5154,NP_004123,HABP2,hyaluronan-binding protein 2 isoform 1 preproprotein
5155,NP_002347,MARCKS,myristoylated alanine-rich C-kinase substrate
5156,NP_075385,MARCKSL1,MARCKS-related protein
5157,NP_620124,RHOT2,mitochondrial Rho GTPase 2
5158,NP_001028740,RHOT1,mitochondrial Rho GTPase 1 isoform 1
5159,NP_002877,RAP2B,ras-related protein Rap-2b
5160,NP_001258115,RAP2C,ras-related protein Rap-2c isoform 1 precursor
5161,NP_066361,RAP2A,ras-related protein Rap-2a precursor
5162,NP_006408,IFI44,interferon-induced protein 44
5163,NP_001120690,POLD2,DNA polymerase delta subunit 2 isoform 1
5164,NP_057071,HEBP1,heme-binding protein 1
5165,NP_653176,CAPN13,calpain-13
5166,NP_061004,NRP2,neuropilin-2 isoform 4 precursor
5167,NP_075066,MRPL44,"39S ribosomal protein L44, mitochondrial"
5168,NP_001788,CDH11,cadherin-11 preproprotein
5169,NP_006589,SLC12A7,solute carrier family 12 member 7
5170,NP_057366,AK3,"GTP:AMP phosphotransferase AK3, mitochondrial isoform a"
5171,NP_056648,ADARB1,double-stranded RNA-specific editase 1 isoform 2
5172,NP_001103,ADARB1,double-stranded RNA-specific editase 1 isoform 1
5173,NP_598368,POFUT2,GDP-fucose protein O-fucosyltransferase 2 isoform C precursor
5174,NP_009133,AKAP10,"A-kinase anchor protein 10, mitochondrial precursor"
5175,NP_057038,DERA,putative deoxyribose-phosphate aldolase
5176,NP_071739,C17ORF75,protein Njmu-R1
5177,NP_064587,NIT2,omega-amidase NIT2
5178,NP_005836,ABCC4,multidrug resistance-associated protein 4 isoform 1
5179,NP_009119,ABCB8,"ATP-binding cassette sub-family B member 8, mitochondrial"
5180,NP_775829,FGD2,"FYVE, RhoGEF and PH domain-containing protein 2"
5181,XP_003960280,GNOMON,PREDICTED: B-cell CLL/lymphoma 9 protein-like
5182,NP_073741,TUT1,speckle targeted PIP5K1A-regulated poly(A) polymerase
5183,NP_056005,DNAJC9,dnaJ homolog subfamily C member 9
5184,NP_006636,STARD10,PCTP-like protein
5185,NP_945327,NELFCD,negative elongation factor C/D
5186,NP_006766,QKI,protein quaking isoform HQK-5
5187,NP_001190991,COMMD3-BMI1,COMMD3-BMI1 read-through protein
5188,NP_036203,COMMD3,COMM domain-containing protein 3
5189,NP_995319,GMPPA,mannose-1-phosphate guanyltransferase alpha
5190,NP_006120,BMP1,bone morphogenetic protein 1 isoform 3 precursor
5191,NP_036597,TLL2,tolloid-like protein 2 precursor
5192,NP_036596,TLL1,tolloid-like protein 1 isoform 1 precursor
5193,NP_060232,MTMR10,myotubularin-related protein 10
5194,NP_073620,DEPDC6,DEP domain-containing mTOR-interacting protein
5195,NP_001008661,CCBL2,kynurenine--oxoglutarate transaminase 3 isoform 1
5196,NP_004050,CCBL1,kynurenine--oxoglutarate transaminase 1 isoform a
5197,NP_036269,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 isoform 1"
5198,NP_055577,DHCR24,delta(24)-sterol reductase precursor
5199,NP_000775,CYP27A1,"sterol 26-hydroxylase, mitochondrial precursor"
5200,NP_055670,AP5Z1,AP-5 complex subunit zeta-1
5201,NP_002909,RFX1,MHC class II regulatory factor RFX1
5202,NP_602304,RFX3,transcription factor RFX3 isoform b
5203,NP_000626,RFX2,DNA-binding protein RFX2 isoform a
5204,NP_060012,POGK,pogo transposable element with KRAB domain
5205,NP_000704,BLVRB,flavin reductase (NADPH)
5206,NP_612409,NOM1,nucleolar MIF4G domain-containing protein 1
5207,NP_055199,ACAD8,"isobutyryl-CoA dehydrogenase, mitochondrial"
5208,NP_008830,IDH3B,isocitrate dehydrogenase
5209,NP_064530,SH3GLB2,endophilin-B2
5210,NP_001121181,PRG4,proteoglycan 4 isoform C precursor
5211,NP_005333,HMGB3,high mobility group protein B3
5212,NP_000117,ETFA,"electron transfer flavoprotein subunit alpha, mitochondrial isoform a"
5213,NP_001121188,ETFA,"electron transfer flavoprotein subunit alpha, mitochondrial isoform b"
5214,NP_006796,HNRNPA0,heterogeneous nuclear ribonucleoprotein A0
5215,NP_001139443,RDH13,retinol dehydrogenase 13 isoform 1 precursor
5216,NP_057390,DNAJB11,dnaJ homolog subfamily B member 11 precursor
5217,NP_001137299,MAPRE2,microtubule-associated protein RP/EB family member 2 isoform 3
5218,NP_001137298,MAPRE2,microtubule-associated protein RP/EB family member 2 isoform 2
5219,NP_775102,RUNDC1,RUN domain-containing protein 1
5220,NP_055785,KIFAP3,kinesin-associated protein 3 isoform 1
5221,NP_116759,CASP10,caspase-10 isoform 1 preproprotein
5222,NP_057132,ISOC1,isochorismatase domain-containing protein 1
5223,NP_001166,ARHGDIB,rho GDP-dissociation inhibitor 2
5224,NP_036253,CDC42EP4,cdc42 effector protein 4
5225,NP_001116857,BCOR,BCL-6 corepressor isoform c
5226,NP_001116856,BCOR,BCL-6 corepressor isoform b
5227,NP_001230228,APLP2,amyloid-like protein 2 isoform 5
5228,NP_000138,FUCA1,tissue alpha-L-fucosidase precursor
5229,NP_001263181,WDTC1,WD and tetratricopeptide repeats protein 1 isoform a
5230,NP_002956,S100A9,protein S100-A9
5231,NP_478059,PSAT1,phosphoserine aminotransferase isoform 1
5232,NP_073589,ZNF574,zinc finger protein 574
5233,NP_005472,MED16,mediator of RNA polymerase II transcription subunit 16
5234,NP_002125,HMOX2,heme oxygenase 2
5235,NP_001035998,MINA,bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA isoform a
5236,NP_060197,TMEM214,transmembrane protein 214 isoform 1
5237,NP_055744,FASTKD2,FAST kinase domain-containing protein 2
5238,NP_631908,TRUB1,probable tRNA pseudouridine synthase 1
5239,NP_001193988,INTS14,von Willebrand factor A domain-containing protein 9 isoform 5
5240,NP_001008530,LGMN,legumain preproprotein
5241,NP_000525,PMS1,PMS1 protein homolog 1 isoform a
5242,NP_001121616,PMS1,PMS1 protein homolog 1 isoform c
5243,NP_569120,DYRK1A,dual specificity tyrosine-phosphorylation-regulated kinase 1A isoform 2
5244,NP_004705,DYRK1B,dual specificity tyrosine-phosphorylation-regulated kinase 1B isoform a
5245,NP_060671,TBC1D13,TBC1 domain family member 13
5246,NP_055332,UBP1,upstream-binding protein 1 isoform LBP-1b
5247,NP_002195,ITGA3,integrin alpha-3 isoform a precursor
5248,NP_006853,TDRKH,tudor and KH domain-containing protein isoform a
5249,NP_001077433,TDRKH,tudor and KH domain-containing protein isoform b
5250,NP_064595,SEMA4B,semaphorin-4B precursor
5251,NP_997006,GAB1,GRB2-associated-binding protein 1 isoform a
5252,NP_078787,HAUS3,HAUS augmin-like complex subunit 3
5253,NP_054861,NUDT5,ADP-sugar pyrophosphatase
5254,NP_036530,PIP5K1C,phosphatidylinositol 4-phosphate 5-kinase type-1 gamma isoform 2
5255,NP_003548,PIP5K1A,phosphatidylinositol 4-phosphate 5-kinase type-1 alpha isoform 2
5256,NP_001129108,PIP5K1A,phosphatidylinositol 4-phosphate 5-kinase type-1 alpha isoform 3
5257,NP_003549,PIP5K1B,phosphatidylinositol 4-phosphate 5-kinase type-1 beta isoform 2
5258,NP_857593,SPINT1,kunitz-type protease inhibitor 1 isoform 1 precursor
5259,NP_001027539,SPINT1,kunitz-type protease inhibitor 1 isoform 2 precursor
5260,NP_055330,CNOT2,CCR4-NOT transcription complex subunit 2
5261,NP_003289,NR2C2,nuclear receptor subfamily 2 group C member 2
5262,NP_005780,PSME3,proteasome activator complex subunit 3 isoform 1
5263,NP_001025055,PLEKHG1,pleckstrin homology domain-containing family G member 1
5264,NP_000116,ESR1,estrogen receptor
5265,NP_690852,LRWD1,leucine-rich repeat and WD repeat-containing protein 1
5266,NP_057537,NCKIPSD,NCK-interacting protein with SH3 domain isoform 1
5267,NP_775840,UBN2,ubinuclein-2
5268,NP_002583,PCNA,proliferating cell nuclear antigen
5269,NP_001035787,UEVLD,ubiquitin-conjugating enzyme E2 variant 3 isoform a
5270,NP_003307,TTC3,E3 ubiquitin-protein ligase TTC3
5271,NP_004102,FEN1,flap endonuclease 1
5272,NP_115818,NEURL4,neuralized-like protein 4 isoform 1
5273,NP_001026897,MRI1,methylthioribose-1-phosphate isomerase isoform 1
5274,NP_861448,TMTC3,transmembrane and TPR repeat-containing protein 3
5275,NP_006206,SERPINA4,kallistatin precursor
5276,NP_659486,UBLCP1,ubiquitin-like domain-containing CTD phosphatase 1
5277,NP_001729,CA1,carbonic anhydrase 1
5278,NP_078859,SCRN3,secernin-3 isoform 1
5279,NP_057444,TACO1,translational activator of cytochrome c oxidase 1
5280,XP_003960482,GNOMON,PREDICTED: protein FAM203A
5281,NP_001280,CLIC2,chloride intracellular channel protein 2
5282,NP_005538,IVL,involucrin
5283,NP_056651,WARS2,"tryptophan--tRNA ligase, mitochondrial isoform 1 precursor"
5284,NP_036534,ARFIP2,arfaptin-2 isoform 2
5285,NP_065114,PDSS2,decaprenyl-diphosphate synthase subunit 2
5286,NP_060052,UBE2Q1,ubiquitin-conjugating enzyme E2 Q1
5287,NP_775740,UBE2Q2,ubiquitin-conjugating enzyme E2 Q2 isoform 1
5288,NP_000368,WAS,wiskott-Aldrich syndrome protein
5289,NP_006406,SPTLC1,serine palmitoyltransferase 1 isoform a
5290,NP_001789,CDK2,cyclin-dependent kinase 2 isoform 1
5291,NP_001777,CDK1,cyclin-dependent kinase 1 isoform 1
5292,NP_001249,CDK3,cyclin-dependent kinase 3
5293,NP_036557,RSU1,ras suppressor protein 1 isoform 1
5294,NP_733779,SKP1,S-phase kinase-associated protein 1 isoform b
5295,NP_663736,ACBD5,acyl-CoA-binding domain-containing protein 5 isoform 1
5296,NP_004791,TM9SF2,transmembrane 9 superfamily member 2 precursor
5297,NP_056235,DCAF13,DDB1- and CUL4-associated factor 13
5298,NP_003303,TST,thiosulfate sulfurtransferase
5299,NP_060245,TTC19,"tetratricopeptide repeat protein 19, mitochondrial isoform 1 precursor"
5300,NP_071324,GAN,gigaxonin
5301,NP_060228,ALKBH5,RNA demethylase ALKBH5
5302,NP_006218,PLTP,phospholipid transfer protein isoform a precursor
5303,NP_001961,EIF5A1,eukaryotic translation initiation factor 5A-1 isoform B
5304,NP_001137232,EIF5A1,eukaryotic translation initiation factor 5A-1 isoform A
5305,NP_065123,EIF5A2,eukaryotic translation initiation factor 5A-2
5306,NP_055095,DNAJC8,dnaJ homolog subfamily C member 8
5307,NP_036234,RERE,arginine-glutamic acid dipeptide repeats protein isoform a
5308,NP_001136040,BBX,HMG box transcription factor BBX isoform 1
5309,NP_001263215,BBX,HMG box transcription factor BBX isoform 3
5310,NP_003013,SH3BGRL,SH3 domain-binding glutamic acid-rich-like protein
5311,NP_002932,ROBO1,roundabout homolog 1 isoform a precursor
5312,NP_001122401,ROBO2,roundabout homolog 2 isoform ROBO2a
5313,NP_079107,TGS1,trimethylguanosine synthase
5314,NP_998776,SLC25A3,"phosphate carrier protein, mitochondrial isoform b precursor"
5315,NP_004926,CDK5,cyclin-dependent kinase 5 isoform 1
5316,NP_003150,CDKL5,cyclin-dependent kinase-like 5
5317,NP_036434,LPHN2,latrophilin-2 precursor
5318,NP_055736,LPHN1,latrophilin-1 isoform 2 precursor
5319,NP_000447,SUOX,"sulfite oxidase, mitochondrial"
